37164173,Exogenous ketosis increases circulating dopamine concentration and maintains mental alertness in ultra-endurance exercise.,"Exogenous ketosis can improve psychocognitive functioning during exercise as well as stimulate postexercise muscular recovery. Therefore, we hypothesized that ketone ester (KE) supplementation can counteract the decline in psychocognitive functioning during ultra-endurance exercise and stimulate muscular recovery. Eighteen recreational runners participated in a full 100 km trail run (RUN, n = 8), or ran to premature exhaustion (80 km: n = 6; 60 km: n = 4). Before (25 g), during (25 g.h(-1)), and after (5 x 25 g in 24 h) RUN they received ketone ester (R)-3-hydroxybutyl (R)-3-hydroxybutyrate (KE, n = 9) supplements or a noncaloric placebo (CON, n = 9). Blood samples and muscle biopsies were taken, and mental alertness was assessed by a psychocognitive test battery at different times before, during, and up to 36 h after RUN. Compared with CON (<0.3 mM), in KE blood d-beta-hydroxybutyrate concentration was consistently elevated to approximately 2-3 mM during RUN. In CON, RUN increased visual reaction times from 353 +/- 53 to 419 +/- 54 ms, and movement execution times from 174 +/- 47 to 245 +/- 64 ms. But this effect was fully negated by KE (P < 0.05). Plasma dopamine concentrations doubled in KE during RUN but remained stable in CON, resulting in higher concentrations after RUN in KE (4.1 +/- 1.7 nM) than in CON (2.4 +/- 0.8 nM, P = 0.048). KE also inhibited muscular infiltration of macrophages and suppressed AMPK phosphorylation status until 36-h postexercise (P < 0.05 KE vs. CON). In conclusion, KE increases circulating dopamine concentration and improves mental alertness, as well as improves postexercise muscular inflammation in ultra-endurance exercise.NEW & NOTEWORTHY Oral ketone ester ingestion elevates circulating dopamine concentration during ultra-endurance exercise. This is associated with improved mental alertness. Furthermore, ketone ester intake inhibits postexercise skeletal muscle macrophage infiltration, and counteracts the increase in AMPK phosphorylation after exercise, which indicates improved muscular energy status.",NFE2L2; APP,APP/PS1 mice; C57BL/6 mice,animal,Animal – Mouse,"regulation of ferroptosis-related pathways, down",Cell Death & Survival,brain,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Alzheimer's disease,Neurodegenerative,"learning and memory, up","Memory (general), up",ketogenic diet-induced elevated beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
37185454,Ketogenic diet alleviates brain iron deposition and cognitive dysfunction via Nrf2-mediated ferroptosis pathway in APP/PS1 mouse.,"Progressive cognitive decline and increased brain iron deposition with age are important features of Alzheimer's disease. Previous studies have found that the short-term ketogenic diet has neuroprotective effects in a variety of neurodegenerative diseases, but the effects of an early and long-term ketogenic diet on brain iron content and cognition of Alzheimer's disease have not been reported. In our study, 8-week-old APP/PS1 mice were given a 12-month ketogenic or standard diet, while C57BL/6 mice matched with the age and genetic background of APP/PS1 mice were used as normal controls to be given a standard diet for the same length of time. We found that 12 months of an early ketogenic diet improved the impaired learning and memory ability of APP/PS1 mice. The improvement of cognitive function may be related to the reduction of amyloid-beta deposition and neuronal ferroptosis. The mechanism was achieved by the regulation of ferroptosis-related pathways after activation of nuclear factor erythroid 2-related factor 2 by ketogenic diet-induced elevated beta-hydroxybutyrate. In addition, blood biochemical results showed that compared with the standard diet group of the disease, although the early and long-term ketogenic diet increased blood lipids to some extent, it seemed to reduce liver, renal, and myocardial damage caused by genetic differences. This will provide a piece of positive evidence for the early and long-term use of ketogenic diets in people at risk of Alzheimer's disease.",0,trained cyclists (N = 23),human,Human – Observational/Patient samples,"preexercise venous beta-hydroxybutyrate concentration, up",Metabolic Regulation,venous blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"mean TT power output, down","Exercise capacity, down",(R)-3-hydroxybutyl (R)-3-hydroxybutyrate KE,Ketone ester (KE),NS
37202059,"Acute Ketone Monoester Supplementation Impairs 20-min Time-Trial Performance in Trained Cyclists: A Randomized, Crossover Trial.","Acute ketone monoester (KE) supplementation can alter exercise responses, but the performance effect is unclear. The limited and equivocal data to date are likely related to factors including the KE dose, test conditions, and caliber of athletes studied. We tested the hypothesis that mean power output during a 20-min cycling time trial (TT) would be different after KE ingestion compared to a placebo (PL). A sample size of 22 was estimated to provide 80% power to detect an effect size dz of 0.63 at an alpha level of .05 with a two-tailed paired t test. This determination considered 2.0% as the minimal important difference in performance. Twenty-three trained cyclists (N = 23; peak oxygen uptake: 65 +/- 12 ml.kg-1 min-1; M +/- SD), who were regularly cycling >5 hr/week, completed a familiarization trial followed by two experimental trials. Participants self-selected and replicated their diet and exercise for approximately 24 hr before each trial. Participants ingested either 0.35 g/kg body mass of (R)-3-hydroxybutyl (R)-3-hydroxybutyrate KE or a flavor-matched PL 30 min before exercise in a randomized, triple-blind, crossover manner. Exercise involved a 15-min warm-up followed by the 20-min TT on a cycle ergometer. The only feedback provided was time elapsed. Preexercise venous [beta-hydroxybutyrate] was higher after KE versus PL (2.0 +/- 0.6 vs. 0.2 +/- 0.1 mM, p < .0001). Mean TT power output was 2.4% (0.6% to 4.1%; mean [95% confidence interval]) lower after KE versus PL (255 +/- 54 vs. 261 +/- 54 W, p < .01; dz = 0.60). The mechanistic basis for the impaired TT performance after KE ingestion under the present study conditions remains to be determined.",0,healthy young adults (n=8; 4F/4M; age 24±3 yr; BMI 24.3±3.1 kg/m2),human,Human – Observational/Patient samples; NS,"carbohydrate oxidation, down",Metabolic Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketone salts; isocaloric ketogenic diet; fasting,Ketone salt (KS); Ketogenic diet (endogenous); Fasting / Caloric restriction (endogenous),NS
37214431,"Impact of one-day fasting, ketogenic diet or exogenous ketones on control of energy balance in healthy participants.","BACKGROUND & AIMS: Oral ketone supplements may mimic the beneficial effects of endogenous ketones on energy metabolism as beta-hydroxybutyrate has been proposed to increase energy expenditure and improve body weight regulation. Therefore, our objective was to compare the effects of a one-day isocaloric ketogenic diet, fasting and supplementation with ketone salts on energy expenditure and appetite perception. METHODS: Eight healthy young adults (4 women, 4 men, age 24 +/- 3 years, BMI 24.3 +/- 3.1 kg/m(2)) participated in a randomized cross-over trial with four 24 h-interventions in a whole room indirect calorimeter at a physical activity level of 1.65: (i) total fasting (FAST), (ii) isocaloric ketogenic diet (3.1% energy from carbohydrates (CHO), KETO), (iii) isocaloric control diet (47.4% energy from CHO, ISO), and (iv) ISO supplemented with 38.7 g/d ketone salts (exogenous ketones, EXO). Effects on serum ketone levels (15 h-iAUC), energy metabolism (total energy expenditure, TEE; sleeping energy expenditure, SEE; macronutrient oxidation) and subjective appetite were measured. RESULTS: Compared to ISO, ketone levels were considerably higher with FAST and KETO and little higher with EXO (all p > 0.05). Total and sleeping energy expenditure did not differ between ISO, FAST and EXO whereas KETO increased TEE (+110 +/- 54 kcal/d vs. ISO, p < 0.05) and SEE (+201 +/- 90 kcal/d vs. ISO, p < 0.05). CHO oxidation was slightly decreased with EXO compared to ISO (-48 +/- 27 g/d, p < 0.05) resulting in a positive CHO balance (p < 0.05). No differences between the interventions were found for subjective appetite ratings (all p > 0.05). CONCLUSION: A 24 h-ketogenic diet may contribute to maintain a neutral energy balance by increasing energy expenditure. Exogenous ketones in addition to an isocaloric diet did not improve regulation of energy balance. CLINICAL TRIAL REGISTRATION: NCT04490226 https://clinicaltrials.gov/.",0,episodic migraineurs,human,Human – Observational/Patient samples,"blood ketone body concentration, up",Metabolic Regulation,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Migraine without aura,Neurodevelopmental & Neuropsychiatric,"NS, nan","NS, nan",DL-Mg-Ca-beta-hydroxybutyrate (DL-betaHB),Exogenous BHB (unspecified/free acid),racemic
37237966,Metabolic markers of short and long-term exogenous DL-beta-hydroxybutyrate supplementation in episodic migraine patients: an exploratory analysis of a randomized-controlled-trial.,"Background: Emerging findings propose that the pathophysiology of migraine may be associated with dysfunctional metabolic mechanisms. Recent findings suggest that migraine attacks are a response to the cerebral energy deficit, and ingestion of ketone bodies stabilizes the generation of a migraine attack. Based on these findings, ketone body supplementation is postulated as a prophylactic treatment approach to restore cerebral metabolism deficiency. Metabolic markers are unexplored after exogenous ketone body supplementation in episodic migraineurs. Therefore, the present single-arm uncontrolled explorative analysis evaluated blood ketone body and glucose concentration after short and long-term 6 g exogenous DL-Mg-Ca-beta-hydroxybutyrate (DL-betaHB) supplementation. Methods: The presented data are part of the MigraKet randomized-control cross-over clinical trial of 41 episodic migraineurs (Number NCT03132233). Patients were given a single dose of 6 g DL-betaHB. Ketone body and glucose blood concentration were assessed before intake, 20, and 40 min after DL-betaHB intake. Ketone body, glucose concentration and glycated hemoglobin values were evaluated after 12 weeks of 18 g DL-betaHB ingestion (total dose), taken three times daily (6g/dose; 3x/day). Linear models explored the association between the ketone body and glucose levels. Results: Ketone body concentration increased within-group to a mean of 0.46 (0.30) mmol/L after 40 min post- DL-betaHB supplementation [estimate = 0.24 mmol/L, CI = (0.20.0.27), p < 0.01]. This within-group increase of ketone body concentration did not change after repeated daily intake of DL-betaHB supplementation over 12 weeks [estimate = 0.00 mmol/L, CI = (-0.03.0.04), p = 0.794]. DL-betaHB intake significantly reduced blood glucose concentration within-group from a mean baseline of 4.91 (0.42) mmol/L to 4.75 (0.47) mmol/L 40 min post-DL-betaHB supplementation [estimate = -0.16 mmol/L, CI = (-0.15, 0.03), p < 0.01]. Repeated DL-betaHB supplementation for 12 weeks showed no change within-group in acute ketone bodies concentration [estimate = 0.00 mmol/L, CI = (-0.03.0.04), p = 0.794] and in the HbA1c value [estimate = 0.02, CI = (-0.07.0.11), p = 0.69]. Conclusion: A single dose of 6 g DL-betaHB significantly elevated blood ketone bodies and decreased blood glucose concentration within-group in episodic migraineurs. Long-term DL-betaHB supplementation for 12 weeks showed no effect within-group on acute ketone body concentration and had not impact on HbA1c. The elevation of the ketone body concentration was moderate, indicating that nutritional ketosis was not reached. Therefore, a dose higher than 6 g of DL-betaHB is required to reach the nutritional level of ketosis. ClinicalTrials.gov Identifier: NCT03132233.",0,FANC-A mutated lymphoblasts; FANC-A mutated fibroblasts,in vitro,In vitro – Immortalized cell line; In vitro – Primary cells,"acts as oxidative phosphorylation metabolite, NS",Mitochondrial Function & Bioenergetics,NS,NS,lymphoblasts; fibroblasts,Hematopoietic / Immune; Stromal / Mesenchymal,Hematopoietic stem/progenitors (HSPC/HSC); Fibroblasts,mitochondria,Mitochondria,Unspecified,Anemia,Hematologic & Thrombotic,"oxidative stress, up; metabolic defect, exacerbated","Oxidative stress, up; Metabolic function, exacerbated",beta-hydroxybutyrate (OHB),Exogenous BHB (unspecified/free acid),NS
37254426,Effects of Deacetylase Inhibition on the Activation of the Antioxidant Response and Aerobic Metabolism in Cellular Models of Fanconi Anemia.,"Fanconi anemia (FA) is a rare genetic disease characterized by a dysfunctional DNA repair and an oxidative stress accumulation due to defective mitochondrial energy metabolism, not counteracted by endogenous antioxidant defenses, which appear down-expressed compared to the control. Since the antioxidant response lack could depend on the hypoacetylation of genes coding for detoxifying enzymes, we treated lymphoblasts and fibroblasts mutated for the FANC-A gene with some histone deacetylase inhibitors (HDACi), namely, valproic acid (VPA), beta-hydroxybutyrate (OHB), and EX527 (a Sirt1 inhibitor), under basal conditions and after hydrogen peroxide addition. The results show that VPA increased catalase and glutathione reductase expression and activity, corrected the metabolic defect, lowered lipid peroxidation, restored the mitochondrial fusion and fission balance, and improved mitomycin survival. In contrast, OHB, despite a slight increase in antioxidant enzyme expressions, exacerbated the metabolic defect, increasing oxidative stress production, probably because it also acts as an oxidative phosphorylation metabolite, while EX527 showed no effect. In conclusion, the data suggest that VPA could be a promising drug to modulate the gene expression in FA cells, confirming that the antioxidant response modulation plays a pivotal in FA pathogenesis as it acts on both oxidative stress levels and the mitochondrial metabolism and dynamics quality.",PER1; PER2; 0; DBP,mice,animal,Animal – Mouse,"blood beta-hydroxybutyrate, up",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"REM sleep duration, down","Sleep duration, down",MCT-KD,MCT / Medium-chain fats,NS
37259248,A ketogenic diet containing medium-chain triglycerides reduces REM sleep duration without significant influence on mouse circadian phenotypes.,"Ketogenic diets (KDs) affect the circadian rhythms of behavior and clock gene expression in experimental animals. However, these diets were designed to simulate a fasting state; thus, whether these effects are caused by diet-induced ketogenesis or persistent starvation is difficult to distinguish. The present study aimed to define the effects of a KD containing medium-chain triglycerides (MCT-KD) that increase blood ketone levels without inducing carbohydrate starvation, on circadian rhythms and sleep regulation. Mice were fed with a normal diet (CTRL) or MCT-KD for 2 weeks. Blood beta-hydroxybutyrate levels were significantly increased up to 2 mM by the MCT-KD, whereas body weight gain and blood glucose levels were identical between the groups, suggesting that ketosis accumulated without carbohydrate starvation in the MCT-KD mice. Circadian rhythms of wheel-running activity and core body temperature were almost identical, although wheel-running was slightly reduced in the MCT-KD mice. The circadian expression of the core clock genes, Per1, Per2, Bmal1, and Dbp in the hypothalamus, heart, liver, epididymal adipose tissues, and skeletal muscle were almost identical between the CTRL and MCT-KD mice, whereas the amplitude of hepatic Per2 and adipose Per1 expression was increased in MCT-KD mice. The MCT-KD reduced the duration of rapid-eye-movement (REM) sleep without affecting the duration of non-REM sleep and the duration of wakefulness. These findings suggested that the impact of ketone bodies on circadian systems are limited, although they might reduce locomotor activity and REM sleep duration.",0,Ten well-trained cyclists,human,Human – Observational/Patient samples,"dopamine signaling, up",Neurotransmission & Neuronal Plasticity,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Sleep disruption,General Signs & Symptoms,"sleep efficiency, up; rapid eye movement sleep, up; wakefulness after sleep onset, down","Sleep efficiency, up; Rapid eye movement sleep, up; Wakefulness after sleep onset, down",25 g ketone ester (KE),Ketone ester (KE),D-BHB
37325193,Exogenous Ketosis Improves Sleep Efficiency and Counteracts the Decline in REM Sleep after Strenuous Exercise.,"INTRODUCTION: Available evidence indicates that ketone bodies may improve sleep quality. Therefore, we determined whether ketone ester (KE) intake could counteract sleep disruptions induced by strenuous exercise. METHODS: Ten well-trained cyclists with good sleep quality participated in a randomized crossover design consisting of two experimental sessions each involving a morning endurance training and an evening high-intensity interval training ending 1 h before sleep, after which polysomnography was performed overnight. Postexercise and 30 min before sleeping time, subjects received either 25 g of KE (EX KE ) or a placebo drink (EX CON ). A third session without exercise but with placebo supplements (R CON ) was added to evaluate the effect of exercise per se on sleep. RESULTS: Blood d -beta-hydroxybutyrate concentrations transiently increased to ~3 mM postexercise and during the first part of the night in EX KE but not in EX CON or R CON . Exercise significantly reduced rapid eye movement sleep by 26% ( P = 0.001 vs R CON ) and increased wakefulness after sleep onset by 95% ( P = 0.004 vs R CON ). Interestingly, KE improved sleep efficiency by 3% ( P = 0.040 vs EX CON ) and counteracted the exercise-induced decrease in rapid eye movement sleep ( P = 0.011 vs EX CON ) and the increase in wakefulness after sleep onset ( P = 0.009 vs EX CON ). This was accompanied by a KE-induced increase in dopamine excretion ( P = 0.033 vs EX CON ), which plays a pivotal role in sleep regulation. In addition, exercise increased sleep spindle density by 36% ( P = 0.005 vs R CON ), suggesting an effect on neural plasticity processes during sleep. CONCLUSIONS: These data indicate that KE ingestion improves sleep efficiency and quality after high-intensity exercise. We provide preliminary evidence that this might result from KE-induced increases in dopamine signaling.",0,C. elegans,animal,Animal – Invertebrate,"HDAC inhibition, down",Epigenetic Regulation,NS,NS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"lifespan, up","Lifespan, up",ketone body,NS,NS
37328918,Nicotinamide riboside functions during development while beta-hydroxybutyrate functions during adulthood to extend C. elegans lifespan.,"Nicotinamide riboside (NR), a form of vitamin B3 and a nicotinamide adenine dinucleotide (NAD (+) ) precursor, has been shown to activate the mitochondrial unfolded protein response (UPR (mt) ) and extend the lifespan when supplemented to C. elegans. The ketone body and histone deacetylase (HDAC) inhibitor beta-hydroxybutyrate (BHB) has also been shown to extend C. elegans lifespan. Experiments were performed that showed that NR extended lifespan by acting almost exclusively during larval development, while BHB extended lifespan by acting during adulthood, and the combination of NR during development and BHB during adulthood unexpectedly decreased lifespan. This suggests that hormesis is involved in the lifespan-altering effects of BHB and NR and that they are inducing parallel longevity pathways that converge on a common downstream target.",LAMP2; EIF2AK3; EIF2S1; ATF4; ERN1,MCAO; cortical cultures under GD,animal; in vitro,Animal – Rat; In vitro – Primary cells,"autophagic flux, up",Cell Death & Survival,brain,Brain/CNS,neurons,Neural / Glial,Neurons,lysosome,Lysosome,Unspecified,Ischemic brain injury,Cerebrovascular / Stroke,"brain injury, down","Brain injury, down",systemic administration; continuous infusion,NS,D-BHB
37395230,Modulation of the autophagy-lysosomal pathway and endoplasmic reticulum stress by ketone bodies in experimental models of stroke.,"Ischemic stroke is a leading cause of disability worldwide. There is no simple treatment to alleviate ischemic brain injury, as thrombolytic therapy is applicable within a narrow time window. During the last years, the ketogenic diet (KD) and the exogenous administration of the ketone body beta-hydroxybutyrate (BHB) have been proposed as therapeutic tools for acute neurological disorders and both can reduce ischemic brain injury. However, the mechanisms involved are not completely clear. We have previously shown that the D enantiomer of BHB stimulates the autophagic flux in cultured neurons exposed to glucose deprivation (GD) and in the brain of hypoglycemic rats. Here, we have investigated the effect of the systemic administration of D-BHB, followed by its continuous infusion after middle cerebral artery occlusion (MCAO), on the autophagy-lysosomal pathway and the activation of the unfolded protein response (UPR). Results show for the first time that the protective effect of BHB against MCAO injury is enantiomer selective as only D-BHB, the physiologic enantiomer of BHB, significantly reduced brain injury. D-BHB treatment prevented the cleavage of the lysosomal membrane protein LAMP2 and stimulated the autophagic flux in the ischemic core and the penumbra. In addition, D-BHB notably reduced the activation of the PERK/eIF2alpha/ATF4 pathway of the UPR and inhibited IRE1alpha phosphorylation. L-BHB showed no significant effect relative to ischemic animals. In cortical cultures under GD, D-BHB prevented LAMP2 cleavage and decreased lysosomal number. It also abated the activation of the PERK/eIF2alpha/ATF4 pathway, partially sustained protein synthesis, and reduced pIRE1alpha. In contrast, L-BHB showed no significant effects. Results suggest that protection elicited by D-BHB treatment post-ischemia prevents lysosomal rupture allowing functional autophagy, preventing the loss of proteostasis and UPR activation.",PCNA; ACTA2; IL1B; TNF; IL10; 0; MPO,Sprague-Dawley rats; carotid artery balloon-injury model; vascular smooth muscle cells (PDGF-BB-induced),animal; in vitro,Animal – Rat; In vitro – Primary cells,"oxidative stress suppression, down",Oxidative Stress & Antioxidant Defense,carotid artery,Vasculature,vascular smooth muscle cell (VSMC),Muscle – Smooth / Perivascular,Vascular smooth muscle cells (VSMC),NS,Unspecified / Generic,NS,Neointimal hyperplasia,Cardiovascular,"neointimal hyperplasia, down","Neointimal hyperplasia, down",Ketogenic diet (KD); beta-hydroxybutyrate (beta-HB),Ketogenic diet (endogenous); Exogenous BHB (unspecified/free acid),NS
37461525,Ketogenic diet inhibits neointimal hyperplasia by suppressing oxidative stress and inflammation.,"OBJECTIVE: Neointimal hyperplasia is the primary mechanism underlying atherosclerosis and restenosis after percutaneous coronary intervention. Ketogenic diet (KD) exerts beneficial effects in various diseases, but whether it could serve as non-drug therapy for neointimal hyperplasia remains unknown. This study aimed to investigate the effect of KD on neointimal hyperplasia and the potential mechanisms. METHODS AND RESULTS: Carotid artery balloon-injury model was employed in adult Sprague-Dawley rats to induce neointimal hyperplasia. Then, animals were subjected to either standard rodent chow or KD. For in-vitro experiment, impacts of beta-hydroxybutyrate (beta-HB), the main mediator of KD effects, on platelet-derived growth factor BB (PDGF-BB) induced vascular smooth muscle cell (VSMC) migration and proliferation were determined. Balloon injury induced event intimal hyperplasia and upregulation of protein expression of proliferating cell nuclear antigen (PCNA) and alpha-smooth muscle actin (alpha-SMA), and these changes were significantly ameliorated by KD. In addition, beta-HB could markedly inhibit PDGF-BB induced VMSC migration and proliferation, as well as inhibiting expressions of PCNA and alpha-SMC. Furthermore, KD inhibited balloon-injury induced oxidative stress in carotid artery, indicated by reduced ROS level, malondialdehyde (MDA) and myeloperoxidase (MPO) activities, and increased superoxide dismutase (SOD) activity. We also found balloon-injury induced inflammation in carotid artery was suppressed by KD, indicated by decreased expressions of proinflammatory cytokines IL-1beta and TNF-alpha, and increased expression of anti-inflammatory cytokine IL-10. CONCLUSION: KD attenuates neointimal hyperplasia through suppressing oxidative stress and inflammation to inhibit VSMC proliferation and migration. KD may represent a promising non-drug therapy for neointimal hyperplasia associated diseases.",APP; 0,in vitro; ex vivo; mouse; nematode,animal; in vitro,NS; Ex vivo – Tissue/Organ explant or slice; Animal – Mouse; Animal – Invertebrate,"autophagy, up",Cell Death & Survival,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Aging; Alzheimer's disease,Aging & Frailty; Neurodegenerative,"amyloid-beta aggregation toxicity, down; neurodegeneration-related protein levels, down","Neurotoxicity, down; Neurodegeneration, down",ketone ester; exogenous betaHB,Ketone ester (KE); Exogenous BHB (unspecified/free acid),NS
37478810,beta-hydroxybutyrate is a metabolic regulator of proteostasis in the aged and Alzheimer disease brain.,"Loss of proteostasis is a hallmark of aging and Alzheimer disease (AD). Here, we identify beta-hydroxybutyrate (betaHB), a ketone body, as a regulator of protein solubility in the aging brain. betaHB is a small molecule metabolite which primarily provides an oxidative substrate for ATP during hypoglycemic conditions, and also regulates other cellular processes through covalent and noncovalent protein interactions. We demonstrate betaHB-induced protein insolubility across in vitro, ex vivo, and in vivo mouse systems. This activity is shared by select structurally similar metabolites, is not dependent on covalent protein modification, pH, or solute load, and is observable in mouse brain in vivo after delivery of a ketone ester. Furthermore, this phenotype is selective for pathological proteins such as amyloid-beta, and exogenous betaHB ameliorates pathology in nematode models of amyloid-beta aggregation toxicity. We have generated a comprehensive atlas of the betaHB-induced protein insolublome ex vivo and in vivo using mass spectrometry proteomics, and have identified common protein domains within betaHB target sequences. Finally, we show enrichment of neurodegeneration-related proteins among betaHB targets and the clearance of these targets from mouse brain, likely via betaHB-induced autophagy. Overall, these data indicate a new metabolically regulated mechanism of proteostasis relevant to aging and AD.",0,critically ill children (term newborn-18 years) in PICU; randomized to intermittent feeding (n=67); continuous feeding (n=73),human,Human – Observational/Patient samples; Human – Interventional; NS,"ketosis, up",Metabolic Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"3-beta-hydroxybutyrate (BHB) levels, up; hypoglycaemic incidents, no-change; feeding intolerance, no-change","Blood ketones (BHB), up; Blood glucose, no-change; Feeding intolerance, no-change",NS,NS,NS
37481199,"Intermittent feeding with an overnight fast versus 24-h feeding in critically ill neonates, infants, and children: An open-label, single-centre, randomised controlled trial.","BACKGROUND & AIMS: Critically ill children are fed day and night, assuming this improves enteral tolerance and the probability of achieving nutritional goals. It was previously shown that a fasting response, reflected by increased ketosis, at least partly explained the beneficial outcome of delayed initiation of supplemental parenteral nutrition. This study aims to investigate whether an overnight fast increases ketosis and is feasible and safe in critically ill children. METHODS: The Continuousversus Intermittent Nutrition in Paediatric Intensive Care (ContInNuPIC) study is a randomised controlled trial in a tertiary referral Paediatric Intensive Care Unit (PICU) in the Netherlands. Critically ill children (term newborn-18 years) with an expected PICU stay >/=48 h, dependent on artificial nutrition, were eligible. Participants were randomly assigned (1:1, stratified for age group) to intermittent feeding, with interruption of feedings during an age-dependent overnight period of eight to 12 h, or to continuous feeding, with the administration of feedings day and night. In both groups, similar daily caloric targets were pursued. For children younger than one year, mandatory minor glucose infusions were provided during fasting. The primary outcome was the feasibility, defined as two conditions (1): a significant difference in the patients' highest daily ketone (3-beta-hydroxybutyrate, BHB) levels during each overnight period, and (2): non-inferiority regarding daily caloric intake, examined using a two-part mixed-effects model with a predefined non-inferiority margin of 33%, in an intention-to-treat analysis. The study is registered in the Netherlands Trial Register (NL7877). RESULTS: Between May 19, 2020, and July 13, 2022, 140 critically ill children, median (first quartile; third quartile) age 0.3 (0.1; 2.7) years, were randomised to intermittent (n = 67) or continuous feeding (n = 73). In the intermittent feeding group, BHB levels were significantly higher (median 0.4 (0.2; 1.0) vs. 0.3 (0.1; 0.7) mmol/L, p < 0.001). The ratio of total caloric intake in the intermittent feeding group to the intake in the continuous feeding group was not consistently significantly more than 0.67, thus not proving non-inferiority. No severe, resistant hypoglycaemic events, nor severe gastrointestinal complications related to the intervention occurred, and feeding intolerance did not occur more often in the intermittent than in the continuous feeding group. CONCLUSION: Compared with day and night feeding, intermittent feeding with an overnight fast and mandatory glucose infusion for children younger than one year marginally increased ketosis and did not lead to more hypoglycaemic incidents in critically ill children. Because non-inferiority regarding daily caloric intake was not proven, the feasibility of an overnight fast could not be shown in the current study. However, as feeding intolerance did not increase during the condensed feeding periods, the nutritional intake was probably limited by the prescription of nutrition and interruptions. More research is needed to determine the optimal level and duration of clinically relevant ketosis and the best method to achieve this.",IRAK3; NFKB1,mouse model of temporary middle cerebral artery occlusion (tMCAO); Irakm(-/-) mice,animal,Animal – Mouse,"IRAKM expression, up",Inflammation & Immune Response,brain,Brain/CNS,microglia,Neural / Glial,Microglia,nucleus,Nucleus & Chromatin,Nucleoplasm,Ischemic stroke,Cerebrovascular / Stroke,"infarct volume, down","Infarct size, down",bioactive product of KD,Ketogenic diet (endogenous),NS
37508009,Ketogenic diet and beta-Hydroxybutyrate alleviate ischemic brain injury in mice via an IRAKM-dependent pathway.,"Ketogenic diet (KD) is a classical nonpharmacological therapy that has recently been shown to benefit cerebral ischemia, but the mechanism remains unclear. This study investigated the neuroprotective effects of KD pretreatment and beta-hydroxybutyrate (BHB, bioactive product of KD) post-treatment in a mouse model of temporary middle cerebral artery occlusion (tMCAO). Neurological function, infarct volume, as well as inflammatory reactions are evaluated 24 h after ischemia. Results showed that both KD pretreatment or BHB post-treatment improved the Bederson score and Grip test score, reduced infarct volume and the extravasation of IgG, suppressed the over-activation of microglia, and modulated the expression of cytokines. Mechanically, we found that both KD pretreatment or BHB post-treatment significantly stimulated the expression of interleukin-1 receptor-associated kinase M (IRAKM) and then inhibited the nuclear translocation of NF-kappaB. IRAKM deletion (Irakm(-/-)) exacerbated tMCAO-induced neurovascular injuries, and aggravated neuroinflammatory response. Moreover, KD pretreatment or BHB post-treatment lost their neuroprotection in the tMCAO-treated Irakm(-/-) mice. Our results support that KD pretreatment and BHB post-treatment alleviate ischemic brain injury in mice, possibly via an IRAKM-dependent way.",NFE2,rats,animal,Animal – Rat,"antioxidant effect, up",Oxidative Stress & Antioxidant Defense,gonadal-WAT (gWAT),Adipose tissue,adipocyte,Adipose,White adipocytes,endoplasmic reticulum,Endoplasmic Reticulum,Unspecified,nan,Other / Unspecified,"body weight gain, down; energy intake, down; gonadal-WAT weight, down; adipocyte size, down","Body weight, down; Food intake, down; Body fat mass, down; Adipocyte size, down","1,3-butanediol (BD)","1,3-Butanediol (BD)",NS
