PMID,BHB Target,Model Raw,Model Global,Model Cannonical,Mechanism Raw,Mechanism Cannonical,Organ/tissue Raw,Organ/tissue Cannonical,Cell Type Raw,Cell Type Global,Celly Type Cannonical,Organelle Raw,Organelle Global,Organelle Cannonical,Disease,Disease Category,Disease Outcome Nonstandardized,Disease Outcome Standardized,BHB Source Raw,BHB Source Cannonical,Isomer
39338322,SYN1; TUBB3,Sprague Dawley rat primary cortical neurons,animal; in vitro,Animal – Rat,"neuronal migration, up","Cell Proliferation, Growth & Differentiation",cortex,Brain/CNS,primary cortical neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Nervous system injury; Stroke; Concussion; Traumatic brain injury,Injury & Trauma; Cerebrovascular / Stroke,"neural regeneration, up","Neuroprotection, up","D,L-sodium-beta-hydroxybutyrate (D/L-BHB)",Exogenous BHB (unspecified/free acid),racemic
39371165,0,community-dwelling older adults (=65 years),human,Human – Observational/Patient samples,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"physical function, nan; cognitive function, nan; quality of life, no-change","Motor function, nan; Cognition, nan; Quality of life, no-change",NS,NS,NS
39411885,CS; SUCLG1,APP/PS1 mice; wild-type (WT) controls,animal,Animal – Mouse; NS,"Kbhb modification, up",Epigenetic Regulation,brain,Brain/CNS,microglia,Neural / Glial,Microglia,NS,Unspecified / Generic,NS,Alzheimer's disease,Neurodegenerative,"beta-amyloid plaque pathologies, down; microgliosis, down","Brain injury, down; Neuroinflammation, down",Sodium beta-hydroxybutyrate (Na-beta-OHB); ketogenic diet,Multi-source; Ketogenic diet (endogenous),NS
39418669,0,young adults HW; OW,human,Human – Observational/Patient samples; NS,"glucose decrease, down",Metabolic Regulation,prefrontal connectomes,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"cognitive interference, down","Cognition, down",ketone monoester (395 mg/kg dose),Ketone ester (KE),NS
39422188,0,Caenorhabditis elegans,animal,Animal – Invertebrate,"DAF-16/FOXO activity, up","Cell Proliferation, Growth & Differentiation",neuromuscular system,Multi-tissue,GABAergic neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"GABAergic neurodevelopment and function, up","Neurodevelopment, up",diet enriched with the ketone body beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
39424350,0,overweight obese subjects (n=29),human,Human – Observational/Patient samples,"substrate metabolism, altered",Metabolic Regulation,muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Obesity; Type 2 diabetes mellitus,Metabolic & Endocrine,"glucose tolerance, decreased or no-change; insulin sensitivity, no-change","Glucose tolerance, decreased or no-change; Insulin sensitivity, no-change","ketone ester of beta-hydroxybutyrate, 8 g every 8 hours",Multi-source,NS
39446133,0,T2DM patients with LV EF /=50%,human,Human – Observational/Patient samples,"fuel provision, up",Metabolic Regulation,left ventricle,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Multi-disease,"left ventricular function, up","Cardiac function, up",incremental infusions of beta-hydroxybutyrate (beta-OH-B),Exogenous BHB (unspecified/free acid),NS
3946526,0,pregnant ewe,animal,Animal – Other Mammal,"placental transfer, up",Ion & Nutrient Transport,ovine placenta,Placenta/Decidua,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"perinatal mortality, up","Mortality, up",infused for 2 hours at a rate of 0.39 mmol/100 ml of uterine blood flow into both left and right uterine arteries,Intravenous BHB,NS
39497705,INS; GIP,healthy adults,human,Human – Observational/Patient samples,"hormone response blunting, down",Hormonal Regulation,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",a single 12 g oral dose of D-BHB,Exogenous BHB (unspecified/free acid),D-BHB
39498503,ERBB3,rats; mice; OA patients,animal; human,Animal – Rat; Animal – Mouse; Human – Observational/Patient samples,"ERBB3 signaling, up","Cell Proliferation, Growth & Differentiation",articular cartilage,Cartilage,articular chondrocytes,Bone & Cartilage,Chondrocytes,NS,Unspecified / Generic,NS,Osteoarthritis,Musculoskeletal & Connective Tissue,"OA severity, down","OA severity, down",produced by adipocytes,NS,NS
39536746,CNDP2,mice; CNDP2-KO mice; humans,animal; human,Animal – Mouse; Human – Observational/Patient samples,"amino acid BHB-ylation (CNDP2-dependent enzymatic conjugation), down",Epigenetic Regulation,hypothalamus,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Obesity,Metabolic & Endocrine,"feeding, down","Food intake, down",exogenous ketone ester supplementation; ketogenic diet,Ketone ester (KE); Ketogenic diet (endogenous),NS
3955080,0; FBP1,rat hepatocyte suspensions,animal; in vitro,Animal – Rat,"citrate inhibition of phosphofructokinase, down",Metabolic Regulation,liver,Liver,hepatocyte,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",beta-Hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
39575959,0,patients with asthenic manifestations (ICD-10 F06; F07; R53),human,Human – Observational/Patient samples; NS,"stimulation of physiological ketosis, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan; Asthenic disorder,Other / Unspecified; Neurodevelopmental & Neuropsychiatric,"cognitive functioning, up; severity of asthenia, down","Cognition, up; Fatigue severity, down",oral beta-hydroxybutyrate salts,Exogenous BHB (unspecified/free acid),NS
39576231,UCP1; 0,rats,animal,Animal – Rat,"respiratory chain activation, up",Mitochondrial Function & Bioenergetics,interscapular brown adipose tissue (iBAT),Adipose tissue,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan","1,3-butanediol (BD)","1,3-Butanediol (BD)",NS
39587264,0,mice,animal,Animal – Mouse,"NS, nan",Other / Unspecified,heart,Heart,cardiomyocyte,Muscle – Cardiac,Cardiomyocytes,NS,Unspecified / Generic,NS,Heart failure,Cardiovascular,"clinical features, improved","Clinical features, improved",beta-hydroxybutyrate supplementation,Exogenous BHB (unspecified/free acid),NS
39588043,0,adult patients with PTSD receiving outpatient treatment at Southern Oslo District Psychiatric Centre (age 18–65),human,Human – Observational/Patient samples,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Post-traumatic stress disorder,Neurodevelopmental & Neuropsychiatric,"PTSD symptoms, down; Quality of life, up","Anxiety-like behavior, down; Quality of life, up",ketogenic diet supplemented with beta-hydroxybutyrate salt; exogenous ketones (KD-KS),Exogenous BHB (unspecified/free acid); Ketone salt (KS),NS
39599743,IFNG; 0; IL1B; IL15; IL1A; MPO,adults with cystic fibrosis receiving modulator therapy; hospitalized for acute pulmonary exacerbation or outpatients,human,Human – Interventional; Human – Observational/Patient samples,"anti-inflammatory signaling, up",Inflammation & Immune Response,lung,Lung,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Cystic fibrosis,Respiratory,"subjective respiratory score, up","Respiratory function, up",ketone monoester (KME),Ketone ester (KE),D-BHB
39604996,0,C57BL/6N mice; letrozole-induced PCOS mouse model; KGN cells,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"cGAS-STING pathway inhibition, down",Inflammation & Immune Response,ovaries,Ovary,KGN cells,Unspecified / Mixed,Cell line (origin unclear),mitochondria,Mitochondria,Unspecified,Polycystic ovary syndrome,Reproductive & Pregnancy,"ovarian functions, up","Ovarian function, up",used to treat KGN cells; ketone bodies produced from KD administration,NS; Ketogenic diet (endogenous),NS
39614095,IL1B,rats; THP-1-derived macrophages,animal; in vitro,Animal – Rat; In vitro – Immortalized cell line,"inflammatory responses, down",Inflammation & Immune Response,joint,Connective tissue/Stroma,macrophages,Hematopoietic / Immune,Macrophages,NS,Unspecified / Generic,NS,Bleeding-induced arthropathy,Musculoskeletal & Connective Tissue,"joint swelling, down; periarticular tissue-fibrosis, down","Inflammation, down; Fibrosis, down",ketogenic diet,Ketogenic diet (endogenous),NS
39626664,APP; 0,mouse; nematode,animal,Animal – Mouse; Animal – Invertebrate,"protein insolubility, up",Other / Unspecified,mouse brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Alzheimer's disease,Neurodegenerative,"amyloid-beta aggregation toxicity, down","Amyloid-beta toxicity, down",ketone ester,Ketone ester (KE),NS
39627223,STAT1; IL12RB1; 0,mouse bone marrow-derived macrophages (BMDMs); RAW264.7 cells; peritoneal macrophages (PMs),animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line; In vitro – Primary cells,"Kbhb modification, up",Epigenetic Regulation,bone marrow,Bone marrow,bone marrow-derived macrophages (BMDMs),Hematopoietic / Immune,Macrophages,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-OHB; ketone ester,NS; Ketone ester (KE),NS
39636949,IL1B; TNF; CCL2,collagenase-induced ICH in rats,animal,Animal – Rat,"inflammation, down",Inflammation & Immune Response,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hemorrhagic stroke,Cerebrovascular / Stroke,"neurological deficit, improved (early); edema, no-change; brain lesion volume, no-change; forelimb use asymmetry, no-change","Neurological deficit score, improved (early); Pulmonary edema, no-change; Brain injury, no-change; Motor function, no-change","250 mg/kg, subcutaneously every 12 hours",Subcutaneous BHB,NS
39650227,APP; NLRP3; IL1B,5xFAD Alzheimer's disease (AD) mouse; previous in vitro study,animal; in vitro,Animal – Mouse; NS,"phagocytosis, up",Inflammation & Immune Response,brain,Brain/CNS,microglia,Neural / Glial,Microglia,NS,Unspecified / Generic,NS,Alzheimer's disease,Neurodegenerative,"hippocampal long-term depression, improved","Depressive-like behavior, improved",intraperitoneal injection of BHB (250 mg/kg),Intraperitoneal BHB,NS
39674922,KL,male rats,animal,Animal – Rat,"Kl upregulation, up",Other / Unspecified,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"oxidative stress, decreased","Oxidative stress, decreased",KD,Ketogenic diet (endogenous),NS
39697898,0,C57BL/6JN male mice; human primary microglia; human primary astrocytes; human primary neurons; mouse primary microglia,animal; in vitro; human,Animal – Mouse; In vitro – Primary cells,"acidic milieu, contribute",Other / Unspecified,brain,Brain/CNS,microglia,Neural / Glial,Microglia,NS,Unspecified / Generic,NS,Chronic brain inflammation,Autoimmune & Inflammatory,"neuroinflammatory gene expression, down","Neuroinflammation, down",Cyclic KD; BHB alone,Ketogenic diet (endogenous); Exogenous BHB (unspecified/free acid),NS
39728460,0,murine muscle cell culture,animal; in vitro,Animal – Mouse,"mitochondrial function, up",Mitochondrial Function & Bioenergetics,muscle,Skeletal muscle,muscle cells,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Gout; Metabolic syndrome,Metabolic & Endocrine,"inflammation, down; insulin sensitivity, up","Inflammation, down; Insulin sensitivity, up",produced during fasting or carbohydrate restriction,Fasting / Caloric restriction (endogenous),NS
39746795,CAMKK2,C57BL/6J mice; HK-2 cells,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"ferroptosis, down",Cell Death & Survival,kidney,Kidney,HK-2 cells,Epithelial – Renal & Urothelial,Renal tubular epithelial,mitochondria,Mitochondria,Unspecified,Diabetic kidney disease,Renal & Urological,"kidney injury, decreased","Kidney function, decreased",NS,NS,NS
39763881,HMGCS2; PTPRC; LCP1; 0,NS,NS,NS,"histone beta-hydroxybutyrylation, up",Epigenetic Regulation,kidney,Kidney,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Hypertension,Cardiovascular,"hypertension, down","Hypertension, down",NS,NS,NS
39786965,0,trained triathletes; competitive triathletes,human,Human – Observational/Patient samples,"R-beta-hydroxybutyrate concentrations, down",Metabolic Regulation,muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
39796543,HSPA5; DDIT3; ALPL,ApoE(-/-) mice; rat vascular smooth muscle cells (VSMCs),animal; in vitro,Animal – Mouse; Animal – Rat,"ERS-mediated apoptosis, down",Cell Death & Survival,aorta,Vasculature,vascular smooth muscle cells,Muscle – Smooth / Perivascular,Visceral smooth muscle,endoplasmic reticulum,Endoplasmic Reticulum,Unspecified,Atherosclerosis,Cardiovascular,"calcification severity, down","Calcification severity, down",supplemented with BHB,NS,NS
39804761,BDNF; BACE1,adults with T2D; C57BL/6J mice (with and without insulin resistance),human; animal,Human – Observational/Patient samples; Animal – Mouse,"BDNF expression, no-change",Neurotransmission & Neuronal Plasticity,cortex,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Type 2 diabetes mellitus,Metabolic & Endocrine,"cognition, no-change; recognition memory, no-change","Cognition, no-change; Memory (general), no-change",exogenous ketone monoester,Ketone ester (KE),NS
39818982,0,adults with type 2 diabetes (n=13),human,Human – Observational/Patient samples,"circulating beta-Hb, up",Other / Unspecified,myocardium,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Type 2 diabetes mellitus,Metabolic & Endocrine,"cardiac output index, up; stroke volume index, up; peripheral muscle oxygenation, up; systemic vascular resistance index, down; heart rate, no-change; flow-mediated dilation (FMD), no-change; ACh max, no-change; insulin max, no-change","Cardiac output, up; Stroke volume index, up; Oxygen delivery, up; Vascular resistance, down; Heart rate, no-change; Endothelial function, no-change; Acetylcholine maximum response, no-change; Insulin secretion, no-change",ketone monoester (K(me)) 0.115 g.kg(-1),Ketone ester (KE),NS
39821043,LMNA; SQSTM1,HGPS cells,in vitro,In vitro – Primary cells,"autophagy activation, up",Cell Death & Survival,NS,NS,NS,Unspecified / Mixed,NS,nucleus,Nucleus & Chromatin,Nucleoplasm,Hutchinson-Gilford progeria syndrome,Genetic / Congenital,"senescence phenotype, down","Senescence phenotype, down",D-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
39824470,0,Drosophila melanogaster,animal,Animal – Invertebrate,"ketogenesis, up",Metabolic Regulation,brain,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Bacterial infection,Infectious,"survival, up","Survival, up",ketogenesis,Ketogenic diet (endogenous),NS
39850366,0,NS,in vitro; animal,NS,"lysosomal escape, up",Cell Death & Survival,diabetic wound,Skin/Integument,M1-type macrophages,Hematopoietic / Immune,Macrophages,lysosome,Lysosome,Unspecified,Diabetic foot ulcer,Metabolic & Endocrine,"inflammation, down; angiogenesis, up; wound healing, up","Inflammation, down; Angiogenesis, up; Wound healing, up",engineered apoptotic bodies (BHB-dABs) derived from adipose stem cells loaded with beta-hydroxybutyric acid (BHB),Exogenous BHB (unspecified/free acid),NS
39867559,0,healthy subjects,human,Human – Observational/Patient samples,"ketone metabolism, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"cognition, up; mood, up; fatigue, down","Cognition, up; Depressive-like behavior, up; Fatigue, down",oral 3-HB (single oral dose 3.5 g),Exogenous BHB (unspecified/free acid),NS
39873669,0,patients with heart failure (HF); individuals without HF; healthy individuals,human,Human – Observational/Patient samples,"NS, nan",Other / Unspecified,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Heart failure,Cardiovascular,"left ventricular ejection fraction up, nan; cardiac output up, nan; stroke volume up, nan; systemic vascular resistance down, nan; mean arterial pressure no-change, nan","Ejection fraction, nan; Cardiac output, nan; Stroke volume, nan; Vascular resistance, nan; Blood pressure, nan",ketone ester and beta-hydroxybutyrate intervention,Multi-source,NS
39887648,0,WT mice; UUO; proximal tubular cells,animal; in vitro,Animal – Mouse; In vitro – Primary cells,"epithelial-mesenchymal transition, down","Cell Proliferation, Growth & Differentiation",kidney,Kidney,proximal tubular cells,Epithelial – Renal & Urothelial,Renal tubular epithelial,NS,Unspecified / Generic,NS,Renal fibrosis,Renal & Urological,"renal fibrosis, down; inflammation, down","Fibrosis, down; Inflammation, down",BHB precursor; BHB,NS,NS
39914452,0,healthy Japanese adults,human,Human – Observational/Patient samples,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"sleep quality, improved","Sleep quality, improved",d-beta-hydroxybutyric acid (D-BHB),Exogenous BHB (unspecified/free acid),D-BHB
3992491,0,mouse early-somite embryos; mouse embryos; mouse fetus,animal,Animal – Mouse,"inhibition of glycolysis, down",Metabolic Regulation,embryo,Systemic/Whole organism,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Teratogenicity,Toxicology / Poisoning,"embryonic defects, up","Embryonic defects, up",NS,NS,NS
39957619,VEGFA; EGLN1; HIF1A,mice; macrophage-specific PHD2 K239R and K385R knock-in mice,animal; in vitro,Animal – Mouse,"lysine beta-hydroxybutyrylation of PHD2, up",Epigenetic Regulation,heart,Heart,macrophages,Hematopoietic / Immune,Macrophages,NS,Unspecified / Generic,NS,Myocardial infarction,Cardiovascular,"cardiac function, up","Cardiac function, up",exogenous beta-OHB,Exogenous BHB (unspecified/free acid),NS
39976785,CXCL8; IL17A; CCL2,ARPE-19 cells,in vitro,In vitro – Immortalized cell line,"anti-inflammatory effect, NS",Inflammation & Immune Response,retinal pigment epithelium,Eye/Retina,ARPE-19 cells,Epithelial – Skin & Eye,Retinal pigment epithelium (RPE),NS,Unspecified / Generic,NS,Hyperglycemia,Metabolic & Endocrine,"cell viability, up; cell cycle arrest, down; inflammation, NS; cell migration/wound healing, NS","Cell viability, up; Cell cycle arrest, down; Inflammation, NS; Wound healing, NS",NS,NS,NS
40004969,0,HC; RRMS; PMS,human,NS,"inflammatory vulnerability, up",Inflammation & Immune Response,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Multiple sclerosis,Autoimmune & Inflammatory,"disability (MS Severity Scale), up; ambulation time, up","Neurological deficit score, up; Locomotor activity, up",NS,NS,NS
40027689,FFAR3; 0,HBSMC,in vitro,In vitro – Primary cells,"FFAR3 activation, up",Metabolic Regulation,bronchial smooth muscle,Upper airway,human bronchial smooth muscle cells (HBSMC),Muscle – Smooth / Perivascular,Visceral smooth muscle,NS,Unspecified / Generic,NS,Asthma,Respiratory,"airway hyperresponsiveness, down; inflammation, down; bronchoconstriction, down","Airway hyperresponsiveness, down; Inflammation, down; Pulmonary function, down",dietary changes or ketone supplementation,Multi-source,NS
40048912,0,Adults with LC-FAOD; VLCADD; CPT2D; LCHADD,human,Human – Observational/Patient samples; NS,"lipolysis, down",Metabolic Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Long-chain fatty acid oxidation disorders,Metabolic & Endocrine,"exercise parameters, no-change","Exercise capacity, no-change",D-beta-hydroxybutyrate (D-BHB) salts,Exogenous BHB (unspecified/free acid),D-BHB
40060617,0,mice; ex vivo live brain punches; in vivo photothrombotic stroke model,animal,Animal – Mouse; Ex vivo – Tissue/Organ explant or slice; Animal – Other Mammal,"brain metabolic effect, down",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Stroke,Cerebrovascular / Stroke,"infarct size, down","Infarct size, down",NS,NS,NS
40060651,FFAR3,human bronchial smooth muscle cells; mouse precision-cut lung slices (PCLS),human; animal; in vitro,In vitro – Primary cells; Multi-model,"FFAR3 activation, up",Metabolic Regulation,airway,Upper airway,human bronchial smooth muscle cells,Muscle – Smooth / Perivascular,Visceral smooth muscle,NS,Unspecified / Generic,NS,Asthma,Respiratory,"bronchoconstriction, down","Pulmonary function, down",NS,NS,NS
40067386,0,Col4a3-deficient mice with Alport nephropathy,animal,Animal – Mouse,"inflammation suppression, down; fibrosis suppression, down",Inflammation & Immune Response; Extracellular Matrix & Structural Remodeling,kidney,Kidney,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Alport syndrome,Genetic / Congenital,"glomerular filtration rate, up; lifespan, no-change","GFR, up; Lifespan, no-change","1,3-butanediol","1,3-Butanediol (BD)",NS
40069113,0,BDH1(cko) mice; littermate controls; permanent left anterior descending coronary artery ligation (MI); sham surgery,animal,Animal – Mouse; NS; Animal – Other Mammal,"cardiac ketone body oxidation, up",Metabolic Regulation,heart,Heart,cardiomyocytes,Muscle – Cardiac,Cardiomyocytes,NS,Unspecified / Generic,NS,nan,Multi-disease,"left ventricular ejection fraction, up","Ejection fraction, up",NS,NS,NS
40102665,0,Adults without cardiac abnormalities,human,Human – Observational/Patient samples,"exogenous ketosis, up",Metabolic Regulation,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"myocardial blood flow, up; cardiac output, up","Cardiac function, up; Cardiac output, up",bis-hexanoyl R-1-3-butanediol (BH-BD),"1,3-Butanediol (BD)",NS
40118051,SNX9,mice; cells,animal; in vitro,Animal – Mouse; NS,"lysine beta-hydroxybutyrylation (Kbhb) of SNX9, up",Epigenetic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,inner mitochondrial membrane/matrix,Mitochondria,Inner membrane (cristae),Alcoholic liver disease,Gastrointestinal & Hepatobiliary,"liver injury, down","Liver injury, down",NS,NS,NS
40140626,0,NS,NS,NS,"HDAC-catalyzed condensation reaction, up",Epigenetic Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",starvation and low-carbohydrate diets,Fasting / Caloric restriction (endogenous),NS
40185075,SNX9,NS,NS,NS,"lysine beta-hydroxybutyrylation (Kbhb) on SNX9, up",Epigenetic Regulation,NS,NS,NS,Unspecified / Mixed,NS,mitochondrial-derived vesicles (MDVs),Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
40185231,OXCT1; HMGCS2,starvation ketosis mouse model; type 1 diabetes mouse model,animal; in vitro,Animal – Mouse,"Kbhb modification, up",Epigenetic Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Starvation ketosis; Type 1 diabetes mellitus,Metabolic & Endocrine,"ketone body utilization, up","Ketone utilization, up",NS,NS,NS
4020692,0,guinea-pig taenia coli smooth muscle (glycogen-depleted),animal,Animal – Other Mammal,"activation of electrogenic pump, up",Ion & Nutrient Transport,taenia coli smooth muscle,Large intestine/Colon,smooth muscle cell,Muscle – Smooth / Perivascular,Visceral smooth muscle,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate (beta-HB),Exogenous BHB (unspecified/free acid),NS
40219805,0,mice; in vivo photothrombotic stroke model; ex vivo live brain punches,animal; in vitro,Animal – Mouse; Animal – Other Mammal; Ex vivo – Tissue/Organ explant or slice,"mitochondrial function, up",Mitochondrial Function & Bioenergetics,brain,Brain/CNS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Stroke,Cerebrovascular / Stroke,"infarct size, down","Infarct size, down",NS,NS,NS
40319428,LAMP2; HSPA1A; NLRP3; CASP1; IL1B; IL18; 0; GSDMD; APP; MAPT,Wistar male rats (HFFD + LPS AD-like model),animal,Animal – Rat,"chaperone-mediated autophagy (CMA), up",Cell Death & Survival,hippocampus,Brain/CNS,microglia,Neural / Glial,Microglia,lysosome,Lysosome,Unspecified,Alzheimer's disease,Neurodegenerative,"cognition, up","Cognition, up","125 mg/kg, p.o.",NS,NS
40331160,0,patients with IBD; DSS-induced colitis in wild-type and perforin-deficient (Prf1-/-) mice; CD8(+) T cell adoptive transfer model,human; animal,Human – Observational/Patient samples; Animal – Mouse; Multi-model,"beta-hydroxybutyrate production, down",Metabolic Regulation,colon,Large intestine/Colon,CD8(+) T cell,Unspecified / Mixed,Mixed cell population,NS,Unspecified / Generic,NS,Colitis,Gastrointestinal & Hepatobiliary,"intestinal inflammation, down; gut microbiota dysbiosis, down","Inflammation, down",NS,NS,NS
40331922,0,HFrEF patients with and without diabetes,human,Human – Observational/Patient samples,"ATP per oxygen consumed, up",Mitochondrial Function & Bioenergetics,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Heart failure with reduced ejection fraction,Cardiovascular,"cardiac output, up; ejection fraction, up; myocardial blood flow, up","Cardiac output, up; Ejection fraction, up; Cardiac function, up",beta-OH-B infusion; increased circulating beta-hydroxybutyrate from SGLT2 inhibitors,Intravenous BHB; Exogenous BHB (unspecified/free acid),NS
40349325,0,young adults; 20 participants (10 females),human,Human – Observational/Patient samples; Human – Interventional,"end-tidal CO2 reduction, down",Ion & Nutrient Transport,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",Exogenous ketone monoester (KME) supplements,Ketone ester (KE),NS
40370303,0,NS,animal,NS,"neuroplasticity, up",Neurotransmission & Neuronal Plasticity,peri-infarct cortex,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Stroke,Cerebrovascular / Stroke,"functional recovery, up","Neurological deficit score, up","exogenous supplementation; (R)-3-hydroxybutyl (R)-beta-HB, a ketone ester (KE); beta-HB monoester drinks",Exogenous BHB (unspecified/free acid); Ketone ester (KE),NS
40370533,STAT3,mice,animal; in vitro,Animal – Mouse,"STAT3 signaling activation, up","Cell Proliferation, Growth & Differentiation",liver,Liver,hepatocyte,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,NS,Unspecified / Generic,NS,Liver regeneration,Gastrointestinal & Hepatobiliary,"hepatocyte proliferation, up; liver regeneration, up","Cell survival, up; Liver regeneration, up",beta-hydroxybutyric acid,Exogenous BHB (unspecified/free acid),NS
40373454,0,streptozotocin (STZ)-induced diabetic mice,animal,Animal – Mouse,"anti-inflammatory effects, down",Inflammation & Immune Response,kidney,Kidney,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan; Myopathy,Multi-disease; Musculoskeletal & Connective Tissue,"renal tubule injury and fibrosis, down; muscle atrophy, down","Fibrosis, down; Muscle atrophy, down",BHB supplementation,NS,NS
40384870,UCP2; SIRT3; PPARGC1A; 0; HMGCS2,mice; chronic constriction injury (CCI),animal; in vitro,Animal – Mouse; Animal – Rat,"ROS production, down",Oxidative Stress & Antioxidant Defense,spinal dorsal horn,Spinal cord,microglia,Neural / Glial,Microglia,mitochondria,Mitochondria,Unspecified,Neuropathic pain,Neurodevelopmental & Neuropsychiatric,"thermal hyperalgesia and mechanical allodynia, down","Mechanical allodynia, down",ketogenic diet (KD),Ketogenic diet (endogenous),NS
4042121,0,canine cardiac Purkinje fibres,animal; in vitro,Animal – Other Mammal,"contractile force, up","Cell Proliferation, Growth & Differentiation",cardiac Purkinje fibres,Heart,Purkinje fibres,Muscle – Cardiac,Cardiac fibroblasts,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
4062289,0,perfused livers from fasted rats,animal,Animal – Rat,"alpha-ketobutyrate decarboxylation, down",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",infusion,NS,NS
406798,0,multiunit canine tracheal smooth muscle,animal,Animal – Other Mammal,"excitation-contraction coupling, reversed",Ion & Nutrient Transport,tracheal smooth muscle,Upper airway,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
